lncRNA,gene,corr,p_value,mean_bicor
Hotair,Sorbs2,-0.118938472,0.123512337,0.054523211
H19,Sorbs2,-0.365098021,1.06E-06,0.124316343
Neat1,Sorbs2,-0.004169527,0.957093075,-0.130568054
Hottip,Sorbs2,-0.072984562,0.345672759,-0.018087346
Gas5,Sorbs2,-0.338193475,6.89E-06,0.275243132
Meg3,Sorbs2,0.321720756,2.00E-05,0.178532165
Pvt1,Sorbs2,0.350113042,3.07E-06,0.130783522
Kcnq1ot1,Sorbs2,0.36666822,9.43E-07,0.336887388
Xist,Itga10,0.525182516,2.29E-13,0.324577899
Malat1,Itga10,0.205882455,0.007243449,0.050059217
Airn,Itga10,0.412395715,2.53E-08,0.262778973
Hotair,Itga10,0.149389821,0.052556574,0.054523211
H19,Itga10,0.135992914,0.077902753,0.124316343
Neat1,Itga10,-0.087053893,0.260402866,-0.130568054
Hottip,Itga10,-0.045853099,0.55386549,-0.018087346
Gas5,Itga10,0.379814225,3.52E-07,0.275243132
Meg3,Itga10,0.276866787,0.000268377,0.178532165
Pvt1,Itga10,0.228532336,0.002803297,0.130783522
Kcnq1ot1,Itga10,0.510612492,1.32E-12,0.336887388
Xist,Rock1,0.618105691,3.46E-19,0.324577899
Malat1,Rock1,-0.071202687,0.357607578,0.050059217
Airn,Rock1,0.500043455,4.46E-12,0.262778973
Hotair,Rock1,-0.022210821,0.774393284,0.054523211
H19,Rock1,0.309144668,4.32E-05,0.124316343
Neat1,Rock1,-0.140041528,0.069372243,-0.130568054
Hottip,Rock1,-0.052864764,0.494847663,-0.018087346
Gas5,Rock1,0.284487426,0.000177791,0.275243132
Meg3,Rock1,0.145608797,0.058899122,0.178532165
Pvt1,Rock1,-0.10706066,0.165916629,0.130783522
Kcnq1ot1,Rock1,0.354832117,2.21E-06,0.336887388
Xist,Ptpn14,0.300803689,7.07E-05,0.324577899
Malat1,Ptpn14,-0.215468869,0.004901591,0.050059217
Airn,Ptpn14,0.663915476,7.72E-23,0.262778973
Hotair,Ptpn14,0.068732287,0.37457362,0.054523211
H19,Ptpn14,0.425288427,8.23E-09,0.124316343
Neat1,Ptpn14,-0.351310979,2.82E-06,-0.130568054
Hottip,Ptpn14,-0.053212896,0.492006756,-0.018087346
Gas5,Ptpn14,0.633881248,2.24E-20,0.275243132
Meg3,Ptpn14,0.008425966,0.913419406,0.178532165
Pvt1,Ptpn14,-0.093403535,0.227094731,0.130783522
Kcnq1ot1,Ptpn14,0.359180175,1.62E-06,0.336887388
Xist,Ptpn11,0.220009795,0.004050487,0.324577899
Malat1,Ptpn11,0.086733622,0.262167315,0.050059217
Airn,Ptpn11,0.247354861,0.001185765,0.262778973
Hotair,Ptpn11,0.102731409,0.18380974,0.054523211
H19,Ptpn11,0.083021757,0.283214375,0.124316343
Neat1,Ptpn11,-0.180915586,0.018577342,-0.130568054
Hottip,Ptpn11,-0.119646403,0.121278234,-0.018087346
Gas5,Ptpn11,0.298124595,8.26E-05,0.275243132
Meg3,Ptpn11,0.278114571,0.000251081,0.178532165
Pvt1,Ptpn11,0.251336489,0.000980024,0.130783522
Kcnq1ot1,Ptpn11,0.31051049,3.98E-05,0.336887388
Xist,Macf1,0.613920572,6.97E-19,0.324577899
Malat1,Macf1,0.48179303,3.32E-11,0.050059217
Airn,Macf1,0.079116096,0.306553945,0.262778973
Hotair,Macf1,-0.050784762,0.512000843,0.054523211
H19,Macf1,-0.133449286,0.083682036,0.124316343
Neat1,Macf1,-0.003294345,0.966093131,-0.130568054
Hottip,Macf1,-0.101081521,0.190988977,-0.018087346
Gas5,Macf1,-0.019145581,0.804855609,0.275243132
Meg3,Macf1,0.295574159,9.56E-05,0.178532165
Pvt1,Macf1,0.310963303,3.87E-05,0.130783522
Kcnq1ot1,Macf1,0.586228999,5.59E-17,0.336887388
Xist,Rapgef2,0.370368959,7.18E-07,0.324577899
Malat1,Rapgef2,0.57520954,2.85E-16,0.050059217
Airn,Rapgef2,-0.130530568,0.090732111,0.262778973
Hotair,Rapgef2,-0.004415358,0.954565962,0.054523211
H19,Rapgef2,-0.350398036,3.01E-06,0.124316343
Neat1,Rapgef2,0.087725972,0.256726743,-0.130568054
Hottip,Rapgef2,-0.078752442,0.308789571,-0.018087346
Gas5,Rapgef2,-0.143869153,0.062022011,0.275243132
Meg3,Rapgef2,0.419526008,1.37E-08,0.178532165
Pvt1,Rapgef2,0.539497469,3.78E-14,0.130783522
Kcnq1ot1,Rapgef2,0.554774991,5.02E-15,0.336887388
Xist,Dlg1,0.165760919,0.031254165,0.324577899
Malat1,Dlg1,0.095325006,0.217636455,0.050059217
Airn,Dlg1,0.385410855,2.29E-07,0.262778973
Hotair,Dlg1,0.066626624,0.389417261,0.054523211
H19,Dlg1,0.083601829,0.279852536,0.124316343
Neat1,Dlg1,-0.072701738,0.347550098,-0.130568054
Hottip,Dlg1,-0.085323392,0.270033864,-0.018087346
Gas5,Dlg1,0.393234559,1.23E-07,0.275243132
Meg3,Dlg1,0.266490103,0.000461416,0.178532165
Pvt1,Dlg1,0.384155949,2.52E-07,0.130783522
Kcnq1ot1,Dlg1,0.367153248,9.10E-07,0.336887388
Xist,Pten,0.401154893,6.48E-08,0.324577899
Malat1,Pten,0.498500096,5.31E-12,0.050059217
Airn,Pten,-0.087363668,0.258704002,0.262778973
Hotair,Pten,-0.030477675,0.694053152,0.054523211
H19,Pten,-0.334067151,9.04E-06,0.124316343
Neat1,Pten,0.051162497,0.508863095,-0.130568054
Hottip,Pten,-0.077232676,0.318247924,-0.018087346
Gas5,Pten,-0.075225936,0.33102204,0.275243132
Meg3,Pten,0.367136215,9.11E-07,0.178532165
Pvt1,Pten,0.514055692,8.79E-13,0.130783522
Kcnq1ot1,Pten,0.546116094,1.60E-14,0.336887388
Xist,Cbl,0.745287284,3.29E-31,0.324577899
Malat1,Cbl,0.030230163,0.696414812,0.050059217
Airn,Cbl,0.313859789,3.25E-05,0.262778973
Hotair,Cbl,0.034155315,0.659319877,0.054523211
H19,Cbl,0.2089087,0.006414583,0.124316343
Neat1,Cbl,-0.32777345,1.36E-05,-0.130568054
Hottip,Cbl,-0.046462428,0.548604322,-0.018087346
Gas5,Cbl,0.484089414,2.59E-11,0.275243132
Meg3,Cbl,0.30397414,5.87E-05,0.178532165
Pvt1,Cbl,0.238524364,0.00179014,0.130783522
Kcnq1ot1,Cbl,0.633459393,2.42E-20,0.336887388
Xist,Pkp4,0.066405321,0.390997639,0.324577899
Malat1,Pkp4,0.489115164,1.50E-11,0.050059217
Airn,Pkp4,-0.076124142,0.32526432,0.262778973
Hotair,Pkp4,0.084510464,0.274640706,0.054523211
H19,Pkp4,-0.258763148,0.000681289,0.124316343
Neat1,Pkp4,0.11991458,0.120440145,-0.130568054
Hottip,Pkp4,-0.099659058,0.197340993,-0.018087346
Gas5,Pkp4,-0.200984823,0.008787722,0.275243132
Meg3,Pkp4,0.187176272,0.014817518,0.178532165
Pvt1,Pkp4,0.48101354,3.60E-11,0.130783522
Kcnq1ot1,Pkp4,0.369214679,7.82E-07,0.336887388
Xist,Clip1,0.299731524,7.53E-05,0.324577899
Malat1,Clip1,0.389226687,1.69E-07,0.050059217
Airn,Clip1,-0.021714314,0.779305602,0.262778973
Hotair,Clip1,-0.089131687,0.249153649,0.054523211
H19,Clip1,-0.177774097,0.020757777,0.124316343
Neat1,Clip1,-0.138891367,0.071714514,-0.130568054
Hottip,Clip1,-0.09956265,0.197776981,-0.018087346
Gas5,Clip1,-0.116985782,0.129839778,0.275243132
Meg3,Clip1,0.24362794,0.001413443,0.178532165
Pvt1,Clip1,0.288485712,0.000142567,0.130783522
Kcnq1ot1,Clip1,0.379621912,3.57E-07,0.336887388
Xist,Stard13,0.294947149,9.91E-05,0.324577899
Malat1,Stard13,0.37241549,6.16E-07,0.050059217
Airn,Stard13,0.286178272,0.000162007,0.262778973
Hotair,Stard13,0.119514858,0.121690979,0.054523211
H19,Stard13,-0.302191026,6.52E-05,0.124316343
Neat1,Stard13,0.374016084,5.47E-07,-0.130568054
Hottip,Stard13,0.006901832,0.929035051,-0.018087346
Gas5,Stard13,-0.181478034,0.018208676,0.275243132
Meg3,Stard13,0.049231172,0.525010513,0.178532165
Pvt1,Stard13,0.243013017,0.001454636,0.130783522
Kcnq1ot1,Stard13,0.320947173,2.10E-05,0.336887388
Xist,Sh2b1,0.542512715,2.56E-14,0.324577899
Malat1,Sh2b1,0.021590207,0.780534853,0.050059217
Airn,Sh2b1,0.418180297,1.54E-08,0.262778973
Hotair,Sh2b1,0.069041416,0.372424017,0.054523211
H19,Sh2b1,0.316005356,2.85E-05,0.124316343
