gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ADCY3,1113.521359,0.44757318,0.09703287,4.612593432,3.98E-06,4.92E-05
HROB,194.8912699,0.300937173,0.159384954,1.888115317,0.059010471,0.17793738
PLCH2,18.5531229,-0.428082249,0.605965617,-0.706446434,0.479910553,0.697300288
TNFRSF14-AS1,51.35894713,0.613893074,0.651754852,0.941907945,0.346239772,0.576647364
LOC100996583,5.067277653,-0.408864145,1.22454683,-0.333890167,0.73846244,0.873588956
CRCP,928.527771,0.471924579,0.173697004,2.716941385,0.006588828,0.03240079
SARS1,2326.428744,-0.129719155,0.227199157,-0.570949104,0.568034144,0.763304662
SORD,980.3742116,0.069923892,0.124825604,0.560172672,0.575361665,0.768716521
RMDN3,741.7619428,0.319658203,0.107308843,2.978861705,0.002893213,0.016372078
RNF5,2963.361964,-0.463363036,0.259120053,-1.788217583,0.073740911,0.209287347
COPG2,304.3084144,-0.583500121,0.316494299,-1.84363549,0.06523628,0.191025151
EPN3,84.00792026,1.995539808,0.279176518,7.147950049,8.81E-13,2.96E-11
PRDM16-DT,17.84966801,3.798694713,0.788806564,4.815749369,1.47E-06,1.96E-05
BAG6,14655.17091,0.762245426,0.17567749,4.338890689,1.43E-05,0.000156755
ZNF14,466.8359086,-0.488717873,0.128229174,-3.81128457,0.000138247,0.001191835
ADCY6,1150.679146,0.627354417,0.149496949,4.196436259,2.71E-05,0.000278015
PPP1CC,3934.224823,0.016694633,0.125474578,0.133051916,0.894152322,0.952049344
ILF3,6679.328224,-0.02609847,0.093736905,-0.278422567,0.780687998,0.897009206
C19orf44,128.7112232,-0.067277124,0.245511159,-0.274028782,0.784062503,0.898824277
CHRAC1,612.1358132,-0.135303536,0.169072072,-0.800271357,0.423553594,0.647161005
FOXD3,33.82736918,-0.813646152,0.3098453,-2.625975452,0.008640105,0.040429816
FKBP8,4753.682282,0.281158485,0.269358592,1.043807375,0.296574519,0.525398745
BZW1,10209.94731,-0.453238699,0.165153787,-2.74434336,0.006063208,0.030184471
LRRC28,158.5216311,-0.313662181,0.160292484,-1.95681153,0.050369631,0.159113705
MADD,1143.708247,0.284704116,0.123166239,2.311543475,0.020802855,0.081990349
BOP1,1180.271656,0.180247324,0.181813876,0.991383757,0.321498228,0.551340089
EXOC6B,533.1934685,0.497187335,0.14087346,3.529318694,0.000416631,0.003149617
C19orf18,22.72312547,0.161522512,0.392332554,0.41169796,0.680560821,0.837931975
INPP5B,490.4306156,-0.388437019,0.226825851,-1.712490077,0.086806392,0.234483725
LINC01134,23.61149746,0.289034051,0.445185832,0.649243597,0.516180936,0.725393628
TACC2,829.6471632,2.285092365,0.258298075,8.846726257,9.01E-19,5.70E-17
SHOX2,296.5991716,-0.187857343,0.150174783,-1.250924682,0.210961958,0.426990519
EXOG,395.6778436,-0.480202507,0.129085269,-3.720041094,0.00019919,0.001641011
ZNF195,828.6741318,-0.049808209,0.10909075,-0.456575916,0.647975893,0.817641181
NDRG4,60.85796867,1.548443657,0.329795641,4.695161083,2.66E-06,3.39E-05
VRK2,567.2673554,-0.47417067,0.179305012,-2.644491999,0.008181364,0.038788683
CELF2,45.33526011,-10.18299577,1.243421587,-8.189495726,2.62E-16,1.27E-14
SEC11C,282.4548995,-0.078856217,0.189386535,-0.416377104,0.67713408,0.836191741
ARID3B,411.2813534,-0.256476718,0.160396979,-1.599012153,0.109817902,0.27597324
POF1B,8.317002805,-4.041114068,1.069880305,-3.777164649,0.000158624,0.001342978
TRIM14,412.0612271,-0.251106033,0.148711193,-1.688548305,0.091306024,0.242708869
ARHGEF17,815.127044,0.265645551,0.157734151,1.684134659,0.092155648,0.244374468
ARHGEF11,2522.215442,0.050077309,0.090202907,0.555162918,0.57878323,0.771339037
LOC102724450,194.3723279,0.422397942,0.181858689,2.322671216,0.020196822,0.080137185
DMTN,18.52464431,3.230024323,1.119056616,2.886381508,0.003896995,0.020967608
LENEP,6.924622914,1.01184329,0.645170853,1.568333855,0.116803239,0.287877634
ZNF398,688.7207575,-0.841778582,0.124172968,-6.779080779,1.21E-11,3.59E-10
PNISR,3862.399747,-0.153694477,0.201922393,-0.761156178,0.446563789,0.667059203
