"XIST_group","RNAss","sample_type"
"High XIST",0.240966726366488,"Normal Tissue"
"Low XIST",0.27244696154859,"Normal Tissue"
"High XIST",0.396293944322147,"Normal Tissue"
"Low XIST",0.449710932564625,"Normal Tissue"
"High XIST",0.0954796339259072,"Normal Tissue"
"High XIST",0.199682110322079,"Normal Tissue"
"Low XIST",0.599491433669316,"Normal Tissue"
"High XIST",0.188715686283985,"Normal Tissue"
"High XIST",0.12572322643587,"Normal Tissue"
"Low XIST",0.450088803055095,"Normal Tissue"
"Low XIST",0.52847034056682,"Normal Tissue"
"Low XIST",0.369911462706575,"Normal Tissue"
"Low XIST",0.401055806129512,"Normal Tissue"
"High XIST",0.111966262208802,"Normal Tissue"
"High XIST",0.181701021485521,"Normal Tissue"
"High XIST",0.176559127213438,"Normal Tissue"
"High XIST",0.304852226702185,"Normal Tissue"
"Low XIST",0.484299530103281,"Normal Tissue"
"Low XIST",0.439799757649166,"Normal Tissue"
"Low XIST",0.525494386542157,"Normal Tissue"
"Low XIST",0.42288442056852,"Normal Tissue"
"Low XIST",0.373894837433789,"Normal Tissue"
"Low XIST",0.389767521767248,"Normal Tissue"
"Low XIST",0.332579488582688,"Normal Tissue"
"High XIST",0.180716172339802,"Normal Tissue"
"High XIST",0.0783195340975539,"Normal Tissue"
"High XIST",0.0871026936010391,"Normal Tissue"
"High XIST",0.333070679834993,"Normal Tissue"
"Low XIST",0.381948171704196,"Normal Tissue"
"High XIST",0.465943859879142,"Normal Tissue"
"Low XIST",0.458738294324575,"Normal Tissue"
"Low XIST",0.263883672606613,"Normal Tissue"
"High XIST",0.117773326230879,"Normal Tissue"
"High XIST",0.250024442944863,"Normal Tissue"
"High XIST",0.103564597559414,"Normal Tissue"
"High XIST",0.0806771170691458,"Normal Tissue"
"High XIST",0.149936251823181,"Normal Tissue"
"High XIST",0.190605236064078,"Normal Tissue"
"High XIST",0.125351253342173,"Normal Tissue"
"High XIST",0.102125365349075,"Normal Tissue"
"Low XIST",0.377863381968541,"Normal Tissue"
"Low XIST",0.383601460697297,"Normal Tissue"
"High XIST",0.162340400067585,"Normal Tissue"
"High XIST",0.242292560618583,"Normal Tissue"
"Low XIST",0.514999104011984,"Normal Tissue"
"Low XIST",0.510299814641544,"Normal Tissue"
"Low XIST",0.384884677343598,"Normal Tissue"
"Low XIST",0.447506089385566,"Normal Tissue"
"Low XIST",0.421169789489204,"Normal Tissue"
"Low XIST",0.44313437372748,"Normal Tissue"
"Low XIST",0.451997367134585,"Normal Tissue"
"Low XIST",0.423516782397061,"Normal Tissue"
"Low XIST",0.355306996618631,"Normal Tissue"
"High XIST",0.130223202561699,"Normal Tissue"
"High XIST",0.130714655138241,"Normal Tissue"
"High XIST",0.194790187219887,"Normal Tissue"
"Low XIST",0.276723918897889,"Normal Tissue"
"Low XIST",0.325357639756169,"Normal Tissue"
"Low XIST",0.474770963050807,"Normal Tissue"
"High XIST",0.356782586340426,"Normal Tissue"
"High XIST",0.204696268491786,"Normal Tissue"
"High XIST",0.537103724183704,"Normal Tissue"
"Low XIST",0.482898608734341,"Normal Tissue"
"Low XIST",0.497045799622452,"Normal Tissue"
"High XIST",0.20748180444828,"Normal Tissue"
"High XIST",0.0819424396402522,"Normal Tissue"
"High XIST",0.112547461451334,"Normal Tissue"
"High XIST",0.149665535097165,"Normal Tissue"
"High XIST",0.156445490340473,"Normal Tissue"
"Low XIST",0.535141180407145,"Normal Tissue"
"Low XIST",0.355037325844788,"Normal Tissue"
"Low XIST",0.333916924122099,"Normal Tissue"
"Low XIST",0.342353770819673,"Normal Tissue"
"Low XIST",0.302051034565465,"Normal Tissue"
"Low XIST",0.311021949520377,"Normal Tissue"
"Low XIST",0.353676453165629,"Normal Tissue"
"Low XIST",0.332614058456267,"Normal Tissue"
"Low XIST",0.345596169824547,"Normal Tissue"
"Low XIST",0.346362860379376,"Normal Tissue"
"High XIST",0.224888341911402,"Normal Tissue"
"High XIST",0.10380094305135,"Normal Tissue"
"High XIST",0.119102658385293,"Normal Tissue"
"High XIST",0.129057867549961,"Normal Tissue"
"High XIST",0.345671415262287,"Normal Tissue"
"High XIST",0.449261823967084,"Normal Tissue"
"Low XIST",0.250451108860977,"Normal Tissue"
"Low XIST",0.343450376324667,"Normal Tissue"
"Low XIST",0.34608644617449,"Normal Tissue"
"High XIST",0.118070710326358,"Normal Tissue"
"High XIST",0.210327246389903,"Normal Tissue"
"High XIST",0.158252238034421,"Normal Tissue"
"Low XIST",0.44143508419821,"Normal Tissue"
"Low XIST",0.523896775434191,"Normal Tissue"
"High XIST",0.16213865766251,"Normal Tissue"
"High XIST",0.111879105839241,"Normal Tissue"
"High XIST",0.121480244138069,"Normal Tissue"
"High XIST",0.198436542291794,"Normal Tissue"
"Low XIST",0.548125290009848,"Normal Tissue"
"Low XIST",0.514903547421727,"Normal Tissue"
"Low XIST",0.373341613264536,"Normal Tissue"
"Low XIST",0.30693255672919,"Normal Tissue"
"Low XIST",0.395083101039314,"Normal Tissue"
"High XIST",0.074282075802148,"Normal Tissue"
"High XIST",0.222607155324384,"Normal Tissue"
"Low XIST",0.40636713554838,"Normal Tissue"
"Low XIST",0.294275528504861,"Normal Tissue"
"High XIST",0.170952681039347,"Normal Tissue"
"High XIST",0.212051552789147,"Normal Tissue"
"Low XIST",0.328773169083752,"Normal Tissue"
"Low XIST",0.400164092222685,"Normal Tissue"
"High XIST",0.171650550469646,"Normal Tissue"
"Low XIST",0.328002291495636,"Normal Tissue"
"High XIST",0.173009970700452,"Normal Tissue"
"High XIST",0.11302310164245,"Normal Tissue"
"High XIST",0.21370103810081,"Normal Tissue"
"High XIST",0.237613790623361,"Normal Tissue"
"High XIST",0.123707562443737,"Normal Tissue"
"High XIST",0.149794676524599,"Normal Tissue"
"High XIST",0.156108372278953,"Normal Tissue"
"High XIST",0.115281815250739,"Normal Tissue"
"High XIST",0.255340607852682,"Normal Tissue"
"High XIST",0.178056767011587,"Normal Tissue"
"High XIST",0.167226049013723,"Normal Tissue"
"Low XIST",0.499820711816398,"Normal Tissue"
"Low XIST",0.561492938911621,"Normal Tissue"
"Low XIST",0.38043121853343,"Normal Tissue"
"Low XIST",0.446885584690818,"Normal Tissue"
"Low XIST",0.356106928290649,"Normal Tissue"
"Low XIST",0.471898344645386,"Normal Tissue"
"High XIST",0.0860159319282655,"Normal Tissue"
"High XIST",0.202477266984566,"Normal Tissue"
"Low XIST",0.0605394044575404,"Normal Tissue"
"High XIST",0.0427417363079643,"Normal Tissue"
"High XIST",0.164024937944048,"Normal Tissue"
"Low XIST",0.433648836217901,"Normal Tissue"
"High XIST",0.542532708879458,"Normal Tissue"
"Low XIST",0.453426598592475,"Normal Tissue"
"Low XIST",0.343685987309865,"Normal Tissue"
"Low XIST",0.339056949462336,"Normal Tissue"
"Low XIST",0.438077150795701,"Normal Tissue"
"Low XIST",0.343798847795938,"Normal Tissue"
"Low XIST",0.362531752589703,"Normal Tissue"
"Low XIST",0.309081759981472,"Normal Tissue"
"High XIST",0.0381463237789874,"Normal Tissue"
