"gene_name","log2FoldChange","padj","cell_line","deg","delabel"
"IRS1",-2.992379533,6.13e-06,"X7","downregulated","IRS1"
"HSPB1",0.768940054,0.598418106,"X7","none",NA
"MARCKS",1.595760544,4.51e-15,"X7","upregulated","MARCKS"
"SLC3A2",-0.019902911,0.961116157,"X7","none",NA
"PTPN11",0.221788346,0.225914216,"X7","none",NA
"WASL",-0.128763857,0.689883919,"X7","none",NA
"DNM2",0.279708828,0.055432884,"X7","none",NA
"LIMA1",-0.3308791,0.119431326,"X7","none",NA
"ARHGEF6",1.829571932,8.18e-09,"X7","upregulated","ARHGEF6"
"MYO6",0.059780007,0.897758802,"X7","none",NA
"PRKCD",1.338452537,2.31e-16,"X7","upregulated","PRKCD"
"ITGAE",0.128256662,0.743372262,"X7","none",NA
"STAT3",0.034675163,0.947008947,"X7","none",NA
"CDH24",-0.734366556,0.029833614,"X7","downregulated","CDH24"
"CASS4",1.392016527,0.622460482,"X7","none",NA
"WASF2",0.561491308,0.011120413,"X7","none",NA
"ADAM10",0.320699611,0.310280636,"X7","none",NA
"MAPK1",0.060521069,0.673351512,"X7","none",NA
"FERMT1",0.05230306,0.881456311,"X7","none",NA
"SH3BP1",0.20004753,0.344347533,"X7","none",NA
"SHARPIN",0.354951408,0.032057908,"X7","none",NA
"PPP2CA",0.029290784,0.903806322,"X7","none",NA
"SIPA1L3",0.279377,0.335011811,"X7","none",NA
"LIMK1",1.201023173,5.14e-06,"X7","upregulated","LIMK1"
"ITGAV",0.448045101,0.139931761,"X7","none",NA
"PTPRH",0.475682019,0.398155649,"X7","none",NA
"ASAP2",0.249662061,0.134660534,"X7","none",NA
"NCK2",-0.338836263,0.079370456,"X7","none",NA
"CSNK1E",-1.387603673,0.009493312,"X7","downregulated","CSNK1E"
"SORBS3",0.100134778,0.625237197,"X7","none",NA
"CSK",0.378560858,0.001031255,"X7","none",NA
"ACTR3",-0.354372039,0.023873335,"X7","none",NA
"THY1",1.008366258,0.051099919,"X7","none",NA
"NISCH",-0.325212988,0.30076417,"X7","none",NA
"ITGB2",0.744394971,0.744516791,"X7","none",NA
"MYOM1",0.774402973,0.372652515,"X7","none",NA
"CDH12",6.610480183,2.31e-15,"X7","upregulated","CDH12"
"HEG1",-0.395336039,0.412834401,"X7","none",NA
"SYNM",0.244329554,0.514810602,"X7","none",NA
"ARVCF",0.1744457,0.791971885,"X7","none",NA
"NME1",0.117788148,0.787773312,"X7","none",NA
