,N4_2,N4_3,N4_4,N7_2,N7_3,N7_4,N9_2,N9_3,N9_4
GSTT1,125,105,186,263,178,233,233,187,160
FMO3,1,0,0,1,0,0,0,1,1
PRKCQ-AS1,3,3,9,13,3,6,5,13,8
NORAD,6520,4836,7890,9125,5661,8853,9367,7231,6995
ANGEL1,313,297,375,608,518,654,726,586,604
SNORD129,0,0,0,0,0,0,0,0,0
DPP9,846,796,1012,1165,1067,1165,966,949,801
TIA1,1786,1678,2395,2479,1914,2416,2330,1973,1823
AJM1,51,44,58,78,85,72,64,44,39
POLR2F,776,533,866,1342,647,1248,1412,1175,1058
NFIL3,127,91,136,153,139,129,101,83,71
SH3GL3,7,8,19,20,8,12,59,40,38
MKLN1,3605,3363,3859,2265,1773,2270,3742,2968,2682
CACNA2D2,45,28,24,44,62,45,12,16,19
MYBPC1,0,0,0,0,2,0,0,0,0
LMBRD1,105,59,107,133,162,116,107,99,80
LGALS3,0,0,0,1,0,0,0,0,1
SAMHD1,542,480,682,1341,881,1177,1284,1001,917
IFFO1,219,206,273,382,389,403,440,426,318
CHMP2A,1132,918,1281,1705,1410,1594,1587,1387,1185
PTAR1,2246,1939,2548,2873,1794,2770,2532,2157,1997
TRIM32,459,490,537,580,586,636,750,617,554
RBIS,922,656,1055,1392,692,1229,1321,1044,1007
HIGD1A,3302,2402,3599,5212,3007,4719,5273,4226,3780
ENTR1,653,607,805,1447,1063,1515,1469,1380,1135
OLAH,0,0,0,0,0,0,0,0,1
NSMF,518,498,568,1261,1186,1199,993,821,683
