,N4_2,N4_3,N4_4,N7_2,N7_3,N7_4,N9_2,N9_3,N9_4
ITSN1,515,458,591,1195,897,1160,1056,816,781
CETP,0,0,0,0,0,0,0,1,0
RO60,3652,2779,3976,5416,3296,4917,5654,4429,4088
YPEL5,470,366,524,513,387,413,354,304,282
IGFN1,0,0,1,0,2,2,1,0,0
CELF1,2698,2420,3157,4116,3271,3991,3756,3210,2699
HAUS2,984,758,1262,1531,840,1311,1159,958,859
CARMIL1,565,537,686,915,732,870,957,868,723
ZNF789,276,262,388,434,332,474,372,313,336
ZNF517,39,35,48,90,72,94,86,75,61
DNMT3B,380,355,396,823,752,938,785,673,653
RFX4,0,0,1,0,0,0,0,0,0
RABGEF1,403,397,445,1123,873,1203,1025,885,817
GABRD,25,32,41,10,12,9,22,32,23
ARMC4,158,145,213,190,112,118,74,79,80
MIR4480,0,0,0,1,0,0,0,0,0
ZYX,709,728,730,934,1024,918,1444,1603,1261
ANGPT2,0,0,0,2,1,2,29,22,32
AZIN1,3315,2441,4288,4929,2922,5203,5578,4432,4442
PPEF1,5,10,2,7,10,8,5,1,6
SPNS1,248,179,272,396,367,420,385,351,278
MAST4,12,10,5,5,8,8,0,0,0
BEND7,98,108,140,106,112,170,116,94,90
TM2D2,475,400,560,805,406,711,756,586,552
MICOS13,443,376,531,803,531,801,880,682,681
EXOC6,538,476,658,701,491,682,696,569,535
UXS1,986,888,1080,1058,846,1016,1118,939,831
ABI1,670,557,858,1060,713,930,944,794,777
ZDHHC4,420,341,507,852,711,851,857,673,628
REXO2,541,415,692,1013,537,918,897,714,667
TSKU,237,195,275,567,413,509,439,381,317
MIR1178,1,1,1,3,2,0,3,5,2
MIR1301,0,1,0,2,4,0,1,2,4
GDAP1,519,432,624,384,365,437,443,353,384
ANKRD33B,132,168,158,83,79,51,91,101,72
ATP13A2,342,338,451,805,789,799,660,579,506
TENT5B,68,41,54,151,102,112,79,50,46
COMMD7,174,129,190,377,251,383,356,272,263
PCMTD1,303,236,357,320,293,357,322,255,232
GLYR1,1295,1169,1661,1965,1403,1870,2042,1691,1607
DPCD,274,206,325,397,305,401,416,350,323
CEPT1,445,388,563,759,504,789,744,619,529
MUS81,1176,1070,1469,2141,1619,2287,1731,1799,1446
ASPH,22298,18875,25723,31170,23481,31614,35128,29080,25892
FZD4-DT,6,3,8,12,11,7,9,5,9
VPS35L,706,689,853,1016,929,1051,1040,857,743
ACBD7-DCLRE1CP1,2,1,0,3,1,0,0,0,1
AKT1,1621,1425,1979,2778,2335,2900,2280,2176,1804
CHCHD7,306,196,310,419,249,454,872,720,681
PPIAP30,2,3,3,4,6,0,0,3,2
ANKRD2,7,7,13,10,9,10,5,12,11
GET3,1307,1054,1547,2319,1618,2173,2043,1731,1619
ASCL1,0,0,0,0,0,0,0,0,0
INTS3,63,202,8,25,17,129,340,6,4
DNMBP,205,192,228,301,298,366,394,367,317
DEXI,236,210,310,552,374,538,508,432,412
PCDHA9,4,9,7,7,13,6,7,5,8
GGA3,404,361,488,509,606,644,585,568,412
CDH3,0,2,0,0,2,3,0,0,3
CXXC5,10,8,12,20,12,18,14,11,12
VIM-AS1,108,108,155,312,212,284,307,337,260
RUNX3,140,137,135,191,251,224,519,461,423
TSHZ3,12,26,22,4,5,5,1,1,0
STAM-AS1,26,28,48,53,27,57,33,33,37
JMY,406,339,430,552,497,590,561,470,487
NUDT16,759,593,811,1133,669,1090,962,793,775
PDCL2,1,1,0,3,2,0,3,2,2
TFAP2E,19,18,19,33,15,44,10,15,17
B4GALNT4,688,544,631,980,872,893,916,892,659
GPR119,0,0,0,0,0,0,0,1,0
ACKR4,1,0,0,0,0,1,0,0,0
MPI,342,359,457,689,769,798,752,662,578
H3-5,20,14,32,40,25,31,40,26,13
THOC5,1290,1148,1593,1706,1403,1783,1717,1446,1327
HRH2,22,30,30,100,133,104,74,57,55
SCARB1,482,525,604,1326,1290,1503,1275,1143,1029
SCUBE2,3,4,2,2,6,5,3,4,1
CXCR5,0,0,0,1,2,0,0,0,0
MYO5C,7,11,7,12,13,10,4,3,9
DIP2B,1188,1160,1377,1911,1386,1980,1770,1570,1376
SUMO2,2769,1998,3129,4530,2332,3560,4241,3451,2937
TFB1M,397,388,519,655,517,632,592,508,446
SPEM2,0,0,0,0,1,2,0,0,1
RABGGTA,278,241,363,341,325,405,340,361,241
GLDN,0,1,1,8,4,4,3,2,3
NEBL-AS1,8,2,6,20,11,16,18,10,13
LINC02643,12,8,5,134,107,149,145,110,108
SLC13A3,6,1,4,10,3,2,3,3,5
UHMK1,7149,5926,8101,10035,6163,9341,9329,7715,6956
COX6B2,1,1,0,1,1,0,1,1,1
HEXIM2,105,93,162,224,167,231,186,167,147
CMTM3,752,582,858,988,782,971,1051,911,859
COMTD1,143,114,161,293,198,243,336,330,238
ACVR2B,179,172,172,135,133,129,185,138,136
STXBP5L,0,0,0,1,0,1,0,2,1
CLASRP,460,354,445,538,383,465,565,527,405
OTX1,45,38,44,72,118,72,76,60,46
GDI2,6342,5077,7861,10770,6518,10710,10001,8013,7431
CDR2L,295,270,364,472,367,437,374,329,236
PIK3R4,819,682,957,1273,1010,1342,1294,1020,938
VAC14,570,642,735,725,820,744,713,697,571
LOC100499489,18,24,30,34,21,36,29,33,43
RUNDC3A,9,11,18,29,19,21,30,14,28
HPS4,692,547,748,1186,992,1197,1213,1024,898
TMEM272,2,0,2,3,3,2,3,2,2
KATNB1,330,312,427,711,603,730,792,750,607
AK7,18,16,12,22,22,20,22,13,6
KIAA1217,2,0,0,0,0,0,1,2,0
GPI,3942,3735,4414,7370,6404,7347,7369,6747,5805
SP7,1,0,0,1,3,0,0,1,0
CCDC57,848,853,894,1376,1715,1406,1399,1304,1014
MGAT1,857,751,998,1279,1046,1284,1584,1290,1231
NUP98,3454,3157,4395,6211,4542,6261,5497,4461,4158
TMEM59,886,611,1059,1154,768,1133,1634,1280,1180
DEPDC5,486,396,545,708,625,729,546,477,469
FNBP1L,943,785,1103,1328,1078,1299,984,769,758
RASA1,789,652,907,937,684,962,887,722,738
ETF1,5158,4086,5887,8081,4786,7756,8370,6972,6233
CD74,4,3,2,130,155,142,220,197,154
LINC02867,2,1,6,8,14,7,6,8,8
ADIPOR2,902,770,964,1612,1268,1605,1314,1132,994
DEAF1,324,313,387,559,513,556,628,474,405
KPNA5,536,412,642,638,525,643,711,571,562
BOLA1,201,203,328,300,236,300,302,297,266
LIF,1459,1291,1999,942,799,1135,969,1001,853
LIG4,108,102,126,179,156,177,148,147,128
LCT,4,3,4,5,0,2,4,4,4
LIFR,314,260,361,130,132,164,49,75,85
UAP1,2276,1553,2133,3812,1777,3418,3089,2708,2472
SYT15,1,0,0,0,1,0,1,1,2
ZBTB20,28,24,17,57,145,77,49,38,33
PLAGL1,304,341,361,509,471,497,420,452,360
RGL1,73,69,78,155,135,194,96,86,67
CEP68,264,237,288,544,461,577,478,389,380
SEPTIN4,5,12,11,10,6,10,5,6,2
SYNPO2L,0,0,0,0,1,0,0,0,0
PCMT1,1347,931,1504,3110,2055,2959,2812,2334,2111
SEC61A2,238,231,266,415,387,413,285,220,219
TPBG,413,366,505,802,545,755,621,605,468
PRKN,40,37,41,6,21,20,37,19,36
CUL1,1911,1609,2249,1418,1095,1388,2708,2340,2195
CNDP2,441,378,540,720,536,754,603,558,499
ATP6V0E2,647,630,887,658,516,614,1422,1290,1158
SLC16A5,139,128,186,264,235,246,166,159,158
MIR760,3,3,0,1,1,0,2,3,0
SLC25A3,7351,5522,8650,11935,7389,11498,11225,8723,8105
DOK4,873,680,1049,1935,1252,1923,2151,1853,1679
MAPT-AS1,0,0,0,0,0,0,0,0,0
MIR874,1,1,1,0,2,0,3,0,1
SNHG7,658,491,824,1628,878,1509,1524,1223,1050
KCNRG,11,12,13,24,19,24,16,9,14
GTF2A1,2020,2109,2291,2905,2552,2875,2357,2088,1783
MIRLET7F2,2,1,2,1,2,2,1,2,1
DHX8,1303,1202,1633,1679,1310,1643,1816,1480,1319
PPP5D1,22,13,28,25,22,17,18,10,17
LRRC37A6P,0,0,0,0,0,1,0,0,0
ARMC4P1,1,0,0,1,1,1,4,0,0
HDX,179,154,201,212,183,200,220,150,148
KAT6A,1367,1315,1715,2382,2174,2440,2557,2246,1916
LARP1,4066,4528,4621,6863,6650,7351,6360,5864,4924
ARHGEF12,3092,2714,3545,5060,3501,4799,3992,3406,3187
ZNF3,886,702,1196,1025,803,1042,975,817,869
POLR2J,276,229,342,416,302,469,417,415,328
CSMD3,50,45,50,122,96,108,20,23,26
SNORD130,0,0,0,1,0,0,0,0,0
WAC-AS1,398,322,501,729,469,666,601,536,512
BTBD1,1705,1382,2127,2854,1858,2786,2862,2210,2063
SVIL-AS1,234,246,348,454,411,434,431,377,379
FANCF,322,219,372,540,323,489,535,400,398
RPL6,10547,7754,12280,16391,10479,15786,15845,13144,11740
MIR604,3,0,2,3,8,6,4,2,1
MIR938,1,2,4,2,4,3,1,1,5
TFEB,7,6,10,21,31,25,24,35,27
TBC1D31,476,418,588,526,387,539,424,325,349
TMEM151B,0,0,0,1,0,0,1,1,2
GOLGA2P6,0,0,0,0,2,1,0,0,0
CITED1,28,24,37,115,57,103,72,65,80
SVIL2P,0,0,0,1,0,0,0,0,1
ZNF438,90,74,107,144,129,119,119,98,79
FUBP1,3745,3103,4199,6047,4352,5621,5043,4507,3863
CHID1,519,524,650,959,762,984,997,1021,801
IL1RAP,24,23,40,34,25,28,162,113,127
WWC1,525,457,631,880,682,986,923,703,693
APOLD1,33,28,29,66,59,83,45,42,48
CEP41,105,73,122,169,146,163,117,116,118
TFR2,175,153,204,250,184,208,199,221,149
MRVI1,21,12,8,169,91,113,8,5,10
ZNF692,446,438,542,621,556,781,645,667,523
ZNF419,309,258,341,393,312,412,378,296,297
RASGRP3,0,1,0,1,0,3,1,1,2
NUDT22,250,169,251,545,478,520,586,500,423
CHCHD6,214,213,256,459,335,504,477,373,341
LOC102031319,0,0,1,2,0,2,1,1,0
LOC101929431,9,7,15,6,4,11,13,7,8
RPL18,7162,5315,8154,9353,6173,8771,9698,8330,6900
DSE,109,131,150,459,329,429,261,267,238
SEPTIN11,2507,2210,2853,8027,5126,6237,6025,4543,4232
SLC25A29,178,164,232,542,561,541,455,352,337
CPAMD8,0,2,0,1,0,1,1,1,0
GAS5,2793,2069,3487,4108,2055,4250,4065,3321,3053
COPB1,3753,2928,4578,6280,4227,5935,5158,4357,4094
ZNF675,569,440,636,650,399,591,716,470,439
RHBDL3,14,10,26,2,2,1,3,4,3
UBE2K,1421,1428,1522,2189,1795,2047,2310,1884,1629
SYNPO,26,21,24,186,254,201,156,127,165
WDR81,99,91,119,224,186,287,209,192,188
STIL,1224,994,1405,1700,1274,1536,1505,1152,1100
DUSP22,348,366,420,494,445,521,509,488,432
SOD1,4303,3080,5205,7333,4161,7407,6609,5345,5143
SLC5A5,1,0,0,1,2,0,1,0,0
HPRT1,438,499,434,619,712,599,660,606,511
IDUA,142,155,109,178,183,143,155,168,97
PARD3-AS1,3,4,2,3,3,4,2,1,1
TRMT10A,117,83,109,146,72,133,121,82,87
ORAI3,247,212,284,467,408,491,394,316,295
ARRDC1,486,394,585,1224,849,1212,792,732,657
MED27,284,312,426,467,381,472,656,500,438
MND1,330,243,408,489,303,457,497,395,358
SPAG6,1,0,1,1,0,0,0,1,0
MAS1,0,0,0,1,0,0,0,0,0
MIR3611,3,2,1,2,1,1,2,3,2
ATP2C2,0,0,0,1,0,1,0,0,0
FRMPD3,6,9,7,15,19,16,5,5,3
ZNF528,1,4,2,6,10,3,1,0,0
ENDOG,282,233,377,530,287,447,689,511,514
ZC3H10,163,138,160,260,212,251,226,243,211
ANGPT1,0,2,1,0,0,0,0,0,0
SOST,1,0,0,2,0,0,1,0,2
ELOF1,768,649,1012,1323,821,1291,1407,1206,1033
TMEM101,349,290,510,528,362,513,500,396,404
KCTD18,561,438,626,691,491,640,633,455,466
COL2A1,0,0,1,8,10,5,1,1,1
ATP6V0D1,1029,942,1406,2019,1637,1991,2005,1702,1574
TASOR,2639,2027,3018,3470,2592,3511,3798,2820,2824
ZNF248,403,451,555,587,606,646,501,446,486
GRSF1,3202,2659,3863,5419,3575,5557,5797,4825,4357
PIF1,302,273,420,539,393,499,370,371,260
REV1,1185,1069,1451,1216,934,1213,1090,863,759
ZNF33BP1,11,9,8,12,16,17,14,6,11
MPP7,25,21,23,401,181,271,49,57,45
ADAMTS6,8,2,7,23,31,38,93,101,98
KIAA1671,851,928,913,1438,1856,1445,1338,1142,984
OVOL2,4,0,1,70,41,56,31,34,36
LSM5,1128,848,1367,1623,831,1510,1640,1386,1258
MIR503HG,13,14,11,20,23,21,18,19,9
PIAS2,720,669,796,1060,880,1043,1099,854,764
NUDT15,344,216,354,363,192,327,339,266,279
SHOC2,835,697,929,1276,1002,1208,1167,898,892
RNF217,123,87,130,627,534,565,444,432,386
FCRL3,0,0,0,0,0,2,0,0,0
USF3,411,535,416,618,813,715,709,617,496
DAPK1-IT1,0,1,3,1,0,0,0,0,0
RPSAP58,483,347,648,1038,456,959,940,785,612
ZNF724,1007,802,1281,1062,704,976,1188,994,903
RAF1,1892,1580,2310,2912,2213,2963,2759,2229,2125
RAD23B,5463,3826,5959,8729,4906,8012,7995,6477,5927
INPP5K,132,98,106,222,137,204,211,186,167
UBE3B,452,391,541,635,577,709,648,591,492
ICOSLG,4,5,3,3,5,6,2,4,3
JMJD1C,3564,3392,4166,2089,1858,1897,2675,2037,1971
MGAT4C,22,11,9,10,7,17,0,2,2
HSD17B7P2,25,33,29,46,36,30,17,18,21
LINC00999,17,19,17,27,57,33,30,25,29
LOC441666,0,0,1,0,0,0,0,0,1
CCNYL2,36,33,44,51,51,66,54,34,41
LINC00839,342,293,482,635,429,608,599,531,376
ZNF37BP,1390,1332,1715,2025,1761,2090,2179,1943,1708
ZNF33B,938,660,1117,1283,818,1404,1290,895,963
LINC01518,0,0,4,2,1,1,1,1,0
LOC283028,0,2,0,0,1,0,2,1,1
LINC02623,1,1,0,0,0,0,1,0,0
MED20,433,350,558,492,360,492,655,473,486
FMN2,2,3,2,0,0,2,2,1,0
CENPM,391,348,453,684,565,731,855,659,540
GID4,180,170,208,280,294,292,257,259,230
DDA1,411,349,505,609,420,530,620,547,461
NUDT9,261,189,276,365,246,382,367,326,314
EFR3A,1328,1148,1497,2514,1854,2345,1915,1538,1428
USH1C,0,0,0,5,3,6,6,7,7
RASGEF1A,333,306,425,654,447,619,504,407,356
ATP6V1G2,3,1,2,1,1,0,1,1,2
ZNF487,88,69,97,115,64,87,92,57,71
POLQ,1707,1739,2000,2605,2063,2606,2551,2105,1910
PRCP,1351,1041,1536,2115,1308,1881,2218,1750,1575
TP73,380,374,455,400,405,375,346,333,259
BCL2L11,338,379,353,577,548,581,301,242,193
SEMA6C,21,25,20,24,32,26,21,21,10
ZNF485,157,107,188,191,171,205,265,204,212
CENPO,1206,1087,1555,1758,1349,1720,1758,1418,1365
ZNF32-AS3,0,1,3,5,5,1,2,3,2
ZNF32-AS1,0,4,0,1,3,3,5,1,0
ZNF32-AS2,2,4,3,8,7,12,5,10,6
HNRNPA3P1,0,0,1,0,1,0,2,0,0
SLC35B2,720,664,957,1548,1232,1652,1662,1490,1300
TMEM72-AS1,1,1,0,1,3,2,4,0,0
TMEM72,0,0,0,0,0,0,2,0,1
CSNK1A1,5558,4061,6494,8103,5384,7315,9309,7932,7139
UEVLD,698,478,743,1046,665,1105,833,618,674
PPFIA3,367,254,413,691,534,662,667,555,473
ISCA2,380,259,417,549,332,478,657,498,452
ZNF526,277,250,375,424,382,488,397,404,344
ZFAND4,163,145,173,269,204,245,294,238,228
SERPINB1,1,1,3,5,3,0,1,1,0
SSR4,933,680,1150,1846,1201,2006,2065,1734,1504
GPR142,0,0,0,3,8,4,0,0,0
CERS5,396,387,481,557,548,601,494,409,379
GMDS,182,154,215,357,326,413,418,367,305
CYP19A1,0,0,0,0,0,0,0,0,0
WDR13,542,368,648,846,598,868,788,677,581
PDE3A,6,6,16,14,7,8,0,0,2
TOP3B,329,323,409,647,630,669,565,551,457
LOC114841040,2,1,10,6,2,8,4,6,4
TRAF2,190,240,323,492,470,520,367,393,352
ACTG2,42,29,22,40,18,29,8,5,4
ACTA2,772,458,384,8189,4660,6693,3910,3700,2603
KCNK4,0,0,2,1,2,2,1,0,0
EGFR,663,684,646,2310,2920,2324,2678,2563,2345
WASHC5,484,420,572,891,677,822,847,681,641
SCRG1,0,0,0,0,1,1,0,0,1
PSME3IP1,1118,889,1342,2216,1637,2190,1957,1722,1627
SLC11A1,15,16,32,26,17,26,26,26,28
SNF8,880,678,1044,1496,1088,1565,1297,1108,1037
ASNSD1,2419,1905,3018,2243,1187,2020,2100,1548,1554
WASHC2C,467,383,518,845,638,796,610,536,534
KDM3A,1158,1098,1113,1746,2061,1621,1670,1326,1098
AGAP4,10,11,12,17,22,21,25,16,24
PARGP1,82,67,84,152,116,118,111,82,85
KCTD7,256,291,407,545,513,619,432,394,394
CPNE1,490,538,659,1211,1135,1285,1060,963,852
SNORA74C-1,6,5,5,8,8,7,10,10,3
MASP1,1,0,0,23,13,21,0,1,5
INSIG1,303,225,411,626,469,641,668,405,480
RFC2,697,567,695,2073,1356,1807,2152,1786,1612
ATF3,5,3,6,6,2,3,8,3,9
LINC00842,3,5,4,1,4,4,7,8,4
HNRNPA1P33,0,2,2,0,3,0,1,2,5
ALDH8A1,3,4,2,2,1,1,4,0,1
GSTCD,760,568,912,1144,761,1074,1167,941,848
SYNC,20,15,16,134,146,150,81,50,59
KIAA1522,653,793,709,616,1201,654,856,789,705
LOC101927699,5,2,5,5,3,2,3,3,4
SHLD2P1,16,11,15,27,24,42,24,17,22
GLUD1P2,4,4,0,11,6,3,5,4,5
BMS1P1,85,114,104,151,135,151,122,122,100
FRMPD2B,9,7,2,7,8,10,10,3,3
SOBP,20,29,31,12,5,12,18,21,13
ANKFY1,1280,1342,1525,2055,2250,2325,1855,1676,1522
VAV1,4,2,0,1,2,0,6,8,5
BMS1P2,20,29,36,48,66,68,48,51,39
SHLD2P3,98,84,101,108,55,78,170,121,133
LOC102724593,4,3,2,5,1,0,1,2,0
FAM102A,343,335,325,677,680,677,597,548,474
PLCL2,158,146,194,175,119,139,183,158,140
AGAP12P,0,2,0,1,1,0,0,1,1
FRMPD2,0,1,1,1,0,4,2,2,0
NBPF7,0,0,0,1,0,0,0,0,0
FYB2,0,0,0,0,1,0,0,0,0
MCMBP,3154,2593,3627,5429,3410,4993,5494,4619,4109
SHTN1,768,782,812,1368,1590,1436,1213,1072,999
VPS72,876,653,1057,1397,979,1300,1355,1159,1091
EPN1,1016,976,1056,1428,1670,1438,1418,1286,1119
PLD1,120,48,61,288,258,301,236,216,207
ARIH1,1569,1505,1757,2090,1771,1972,1970,1737,1546
TRUB2,972,768,1245,1211,856,1310,1408,1227,1108
NT5C3A,586,506,740,903,490,784,758,642,569
CD58,168,113,218,241,145,242,170,165,142
KPNA1,1116,969,1221,1746,1532,1707,1805,1519,1343
APOC1,156,84,168,99,58,106,149,116,95
GBGT1,0,0,0,0,0,1,0,0,0
HPS6,405,312,476,666,516,743,621,551,459
BTBD16,2,0,2,7,5,5,10,10,9
XPC,729,589,804,1039,920,1109,996,907,770
ARHGAP22-IT1,5,22,3,14,40,12,17,14,7
ARHGAP22,119,105,142,362,256,347,342,268,218
SERPINA5,1,1,0,0,0,0,0,1,1
TTC39A,431,382,511,891,734,864,1014,818,747
RPS29,5075,3495,6322,8562,4293,9867,9226,6989,6247
PLCB3,1289,1192,1488,2439,2065,2381,1881,1718,1236
IQGAP1,4461,4032,4917,8143,6742,7514,5737,4610,4394
FZD6,655,557,726,1125,721,1006,959,714,698
SLC49A3,1,1,0,5,2,7,1,1,4
ARHGEF40,793,806,979,1652,1462,1533,446,422,357
SLC4A2,3220,2701,3535,2776,2411,2680,4534,4498,3264
ATXN7L1,167,180,212,143,178,167,216,181,167
RNF150,129,158,154,31,61,39,59,37,26
CEP95,658,512,621,934,698,914,847,675,696
MTSS1,17,26,31,5,9,8,10,5,9
NLRC4,0,0,0,0,0,0,0,3,1
PUS3,200,164,203,257,177,279,369,336,280
MSLN,1,2,0,16,11,10,10,6,9
SURF1,217,205,266,457,319,441,504,399,347
LRP4,776,828,835,1057,967,1227,955,764,651
PRCC,703,595,760,1090,980,1058,1166,1027,940
MCPH1,836,661,911,1494,911,1348,1834,1468,1372
EIF3C,0,3,2,2,1,2,2,2,1
XIRP2,0,2,1,0,0,0,1,0,0
RALGDS,670,525,695,946,821,1015,736,648,541
TMEM80,269,193,290,384,290,382,392,367,308
SH2B3,149,133,169,401,402,436,524,452,368
DIRAS3,1,0,0,3,0,1,0,0,0
PTK7,964,890,1139,1967,1881,2105,1545,1279,1142
MIR26A2,3,7,8,5,6,13,6,5,7
BTD,388,793,127,278,345,827,258,225,200
TCF4,0,0,0,1,0,0,0,0,0
NPHP1,177,131,168,200,137,190,232,203,178
LOC100507412,2,1,0,0,8,0,3,3,3
SNHG1,2341,1619,2567,3286,1838,3228,3451,2827,2380
SNHG15,474,349,559,720,447,698,769,599,541
SNORA74C-2,7,3,7,14,9,14,17,13,4
FAM21EP,9,9,12,18,20,20,22,25,25
PCBP4,538,435,565,1249,1086,1142,1292,1123,962
SGMS1-AS1,35,39,67,61,60,64,77,41,50
SIRT7,351,266,363,538,382,544,449,362,341
BET1L,498,468,570,1020,905,1063,1001,857,753
RAB8B,629,456,702,618,486,510,592,446,413
KLF3,646,646,863,1381,959,1197,1259,979,846
BCAR1,738,704,922,1374,1384,1480,1268,1185,982
PIGA,239,196,271,299,247,296,323,286,257
SERPINB8,51,48,66,52,27,33,63,47,51
PCDHGA3,3,1,1,0,3,2,2,0,0
CNOT7,2263,1848,2634,3396,2041,3064,3482,2851,2516
RNPEP,1174,1196,1390,2542,2353,2569,2049,1799,1650
PWWP2A,343,306,423,473,326,499,557,409,394
AADAT,510,516,610,595,448,562,672,528,441
ADAMTSL4,417,444,398,285,378,259,307,312,187
ZNF211,292,286,353,381,342,392,320,319,288
TRAF3IP3,0,0,0,0,0,0,0,1,0
FXYD5,402,355,436,1045,896,1002,829,805,629
MTCH2,2312,1755,2758,3780,2329,3667,3665,2899,2764
HELT,0,0,0,0,0,0,1,0,0
SFXN1,2945,2361,3463,4257,2912,4074,4376,3674,3320
CATSPER1,0,0,0,0,1,0,0,0,0
TADA1,735,596,804,1115,676,999,1070,827,687
CHCHD3,648,489,642,172,130,144,990,772,697
SAT2,151,108,158,429,297,463,440,386,312
PPWD1,411,360,514,485,311,449,531,453,425
ATRX,2684,2383,2957,3603,2870,3380,3025,2367,2128
XIAP,1503,1045,1631,2339,1483,2230,2306,1745,1586
BIRC3,39,36,52,57,49,53,64,55,70
MRPL14,696,519,907,1100,697,1181,1314,1092,964
EPHA5,1674,1482,1865,3344,2472,2955,1825,1557,1347
CCT5,8880,6739,10769,15355,8947,15371,14008,11300,10463
TRIB2,254,194,249,537,382,488,403,309,290
LINC00662,126,113,132,158,133,156,184,144,116
SSTR5-AS1,13,23,20,13,17,7,8,15,8
FAM133CP,2,2,2,4,1,5,3,2,4
CLCN1,0,0,0,2,0,1,0,0,2
FAM13C,0,0,0,0,1,1,1,0,0
CTNNA1,4810,4192,6012,8912,7079,9040,7016,5838,5708
SLC16A9,1455,1219,1824,520,298,421,917,700,649
TNFSF13,2,3,7,25,24,25,43,26,22
BRCA1,1669,1441,2021,1948,1465,1806,2061,1601,1724
UBAP2L,3399,3213,3691,5009,4891,5126,4915,4556,3965
STK10,531,475,655,1120,976,1170,1153,1031,886
MYB,25,19,20,14,21,21,54,60,43
ARHGAP26,42,46,54,43,37,50,26,28,20
ARHGEF2,678,626,868,920,922,948,732,620,596
FHIT,24,31,45,35,38,42,45,43,36
ATP5F1C,2811,2210,3609,4689,3058,4682,5225,4143,3831
ADIPOR1,1796,1525,2181,2650,1893,2519,2931,2460,2233
SYTL2,18,8,15,23,12,20,24,21,10
DTYMK,1188,919,1479,1625,954,1523,1466,1279,1125
TVP23A,0,0,0,0,1,1,0,0,1
UROD,1110,851,1284,2027,1572,1985,2370,1973,1738
DDB2,869,730,955,1108,1000,1163,1135,873,834
SLC35A5,383,255,413,489,281,482,415,351,346
FAM91A1,2095,1740,2465,3084,1942,2799,2458,2189,1994
TUBB4A,67,101,51,70,219,61,57,60,39
POMGNT1,929,681,1020,1214,984,1394,1259,1178,997
NCOA2,1328,1323,1480,1946,1706,1856,2123,1680,1564
TMEM26-AS1,0,1,0,0,0,0,0,0,0
DENND5B,354,341,451,344,275,303,465,431,376
PLCD3,193,195,264,474,346,438,365,281,247
UNC5A,1,3,4,5,1,1,2,4,3
PCDHA1,0,0,3,0,1,0,1,1,0
LOC283045,3,2,8,0,0,1,0,0,0
TMC5,0,0,0,1,0,0,1,2,1
NUDT13,28,39,66,54,51,60,33,38,47
WRNIP1,834,661,1043,1871,1407,1960,1556,1433,1248
KIFAP3,423,364,506,610,522,643,545,454,405
VPS41,910,873,1142,1212,920,1236,1232,1041,981
KLHL10,5,5,4,5,2,10,6,3,6
SEPTIN4-AS1,0,0,0,0,1,1,1,0,0
DDX59-AS1,3,2,8,4,0,5,11,9,3
CDHR2,8,11,9,6,4,14,17,9,12
JMJD1C-AS1,293,269,301,99,74,62,271,202,197
LRRTM3,0,0,0,0,0,0,0,0,1
ZNF738,0,1,0,1,4,0,0,1,0
HCFC1,1886,2075,1935,2381,3531,2584,3182,3161,2398
POU5F1P5,10,6,15,12,16,25,14,21,19
SLC38A6,246,228,295,391,364,364,283,248,214
SLC29A2,764,698,855,1442,1420,1508,1033,948,718
RHBDL1,69,40,33,70,77,73,45,64,34
NUP35,752,619,943,583,399,579,672,568,512
CDCA8,1138,851,1379,1973,1395,1973,1974,1644,1492
IFT122,413,404,444,555,533,595,622,489,412
TIE1,0,0,0,1,0,0,0,1,0
MRPL55,441,366,561,768,525,772,943,814,689
CCAR1,2722,2255,3190,3769,2496,3725,3657,2789,2771
ALDH7A1,1913,1753,2269,3033,2312,2765,2693,1998,2027
CHRND,0,0,0,0,0,0,0,0,0
CRB1,15,16,33,462,401,447,17,15,20
INHBC,1,6,7,4,5,8,6,8,11
LIN54,730,599,853,1115,759,1038,1150,924,906
RUFY2,515,448,574,931,706,842,828,673,693
ACOT9,903,665,1137,1578,884,1386,1150,849,868
TRIM16,106,97,138,227,229,281,222,189,136
IFT27,117,120,171,182,165,210,194,153,163
ARSG,81,82,115,123,125,151,147,116,122
PDLIM7,832,782,890,1823,1658,1578,1482,1452,1098
USP6NL,756,695,854,1070,848,1003,847,784,685
CCR5AS,2,0,0,18,8,27,6,5,7
SNORD98,10,17,17,14,13,20,9,14,10
NUBPL,209,181,288,382,263,384,351,263,296
NAAA,638,526,802,1037,695,953,955,696,666
CASP2,725,796,790,587,626,559,1049,818,711
IRF1,368,291,458,902,504,792,692,498,514
YTHDC2,1256,1173,1386,2043,1765,2159,2124,1648,1533
RCL1,537,444,639,724,483,715,640,481,408
LSR,881,729,1027,1160,1005,1175,1065,897,856
TPP2,1049,808,1177,1494,1248,1573,1421,1196,1018
PIK3CB,284,417,242,449,791,480,371,331,261
LOC101928994,0,0,3,1,1,0,0,0,1
TMEM50B,81,38,3,64,72,140,11,72,8
CLTCL1,150,146,186,263,289,279,187,141,146
LZTS1,28,32,30,149,162,186,123,111,92
C8G,6,10,9,16,19,10,28,22,14
LHX2,186,184,225,208,180,187,217,200,169
GNL1,3,1,1,32,3,4,7,8,3
OAZ1,5483,4277,6846,10968,7294,10068,11757,9713,8520
HRH1,0,1,1,0,0,1,1,0,1
IL7R,0,3,1,0,0,0,0,0,0
ENOPH1,839,661,1028,1784,1092,1660,1649,1298,1199
