"gene","bicor","XIST_group","sample_type"
"ENG",-0.722871958032,"Low XIST","Normal Tissue"
"EPB41",0.238825721508538,"High XIST","Normal Tissue"
"EPB41",0.458599150568491,"Low XIST","Normal Tissue"
"EXOC3",-0.123722572407413,"High XIST","Normal Tissue"
"EXOC3",0.158411913547757,"Low XIST","Normal Tissue"
"EZR",0.21686957691199,"High XIST","Normal Tissue"
"EZR",-0.0860292261527954,"Low XIST","Normal Tissue"
"FABP3",-0.49619136682473,"High XIST","Normal Tissue"
"FABP3",-0.359303760588553,"Low XIST","Normal Tissue"
"FAT1",-0.190875452413785,"High XIST","Normal Tissue"
"FAT1",-0.419273566838457,"Low XIST","Normal Tissue"
"FBLIM1",-0.557035244079348,"High XIST","Normal Tissue"
"FBLIM1",-0.732112887662044,"Low XIST","Normal Tissue"
"FER",-0.386472602616428,"High XIST","Normal Tissue"
"FER",-0.384210962490331,"Low XIST","Normal Tissue"
"FERMT1",0.260261234093894,"High XIST","Normal Tissue"
"FERMT1",-0.222747920532666,"Low XIST","Normal Tissue"
"FERMT2",-0.588326601373437,"High XIST","Normal Tissue"
"FERMT2",-0.381961897868439,"Low XIST","Normal Tissue"
"FERMT3",-0.227825376588306,"High XIST","Normal Tissue"
"FERMT3",0.211137649203276,"Low XIST","Normal Tissue"
"FHL2",-0.210539188783533,"High XIST","Normal Tissue"
"FHL2",-0.54771395699388,"Low XIST","Normal Tissue"
"FLNA",-0.565666595255115,"High XIST","Normal Tissue"
"FLNA",-0.183261841848044,"Low XIST","Normal Tissue"
"FLNB",-0.15228399256592,"High XIST","Normal Tissue"
"FLNB",-0.482525006423612,"Low XIST","Normal Tissue"
"FSCN1",0.102320148213171,"High XIST","Normal Tissue"
"FSCN1",-0.149230564838341,"Low XIST","Normal Tissue"
"FYN",-0.108661624890516,"High XIST","Normal Tissue"
"FYN",0.173775001945839,"Low XIST","Normal Tissue"
