"RNAss","XIST","sample_type","bin_XIST"
0.0956170556021399,7.40344668451318,"Normal Tissue","High XIST"
0.0957220151791409,6.81763604730439,"Normal Tissue","High XIST"
0.0958732712213906,6.37956898085021,"Normal Tissue",NA
0.0959364536274074,7.41194309625803,"Normal Tissue","High XIST"
0.0959432401026988,3.48426705261196,"Normal Tissue","Low XIST"
0.0959934602417433,6.47136632266976,"Normal Tissue","High XIST"
0.0960081122579713,6.50543048922679,"Normal Tissue","High XIST"
0.0961659990402762,6.4408027398351,"Normal Tissue","High XIST"
0.096203501798977,6.04310386063545,"Normal Tissue",NA
0.0963038349632304,7.15482823319231,"Normal Tissue","High XIST"
0.0963182804590966,6.31308255965732,"Normal Tissue",NA
0.0964571102571614,6.55060828001095,"Normal Tissue","High XIST"
0.0964579983824688,6.01772151976986,"Normal Tissue",NA
0.0965121723634449,7.28633596918164,"Normal Tissue","High XIST"
0.0965233757080818,4.6259133625477,"Normal Tissue",NA
0.0966727519340603,5.68540758695759,"Normal Tissue",NA
0.0966965180778658,7.29646658479142,"Normal Tissue","High XIST"
0.0967213095211208,5.94979170054566,"Normal Tissue",NA
0.0967793530552611,7.97900211425058,"Normal Tissue","High XIST"
