"adhesome_gene","XIST","tissue"
"RNF5",-0.132114155074232,"Muscle"
"DEF6",0.360613528388273,"Muscle"
"CD2AP",0.48116164650541,"Muscle"
"MYO6",0.527981507315022,"Muscle"
"FYN",0.317767401530966,"Muscle"
"MARCKS",0.354603458919111,"Muscle"
"PTPRK",0.516789733584047,"Muscle"
"EZR",0.208191362851332,"Muscle"
"GNA12",0.226222192525095,"Muscle"
"ACTB",0.425033412762121,"Muscle"
"FSCN1",0.336418751221119,"Muscle"
"RAC1",0.0601493634077424,"Muscle"
"ITGB8",0.355551953192246,"Muscle"
"ELMO1",0.296510645656967,"Muscle"
"EGFR",0.312362713819905,"Muscle"
"LIMK1",0.161481320399651,"Muscle"
"HSPB1",0.244281942750941,"Muscle"
"PTPN12",0.422220664175212,"Muscle"
"KRIT1",0.292718377433906,"Muscle"
"TRIP6",0.472793581054171,"Muscle"
"CBLL1",0.34436363545446,"Muscle"
"TES",0.408227637979959,"Muscle"
"CAV1",0.373834776630476,"Muscle"
"MET",0.213864513102278,"Muscle"
"WASL",0.328422407964411,"Muscle"
"ZYX",0.350158715153043,"Muscle"
"KCNH2",0.0526241605390086,"Muscle"
"DLC1",0.466590579301431,"Muscle"
"SORBS3",0.397598537933586,"Muscle"
"PTK2B",0.452805536639015,"Muscle"
"ADAM9",0.225190405926406,"Muscle"
"LYN",0.313710213517386,"Muscle"
"SDCBP",0.437495929889593,"Muscle"
"PABPC1",0.396803602696284,"Muscle"
"PTK2",0.438316247800893,"Muscle"
"SCRIB",0.163486690385375,"Muscle"
"PLEC",0.132507104355926,"Muscle"
"SHARPIN",0.368211724836249,"Muscle"
"TESK1",-0.0519885947546072,"Muscle"
"TLN1",0.187464217803288,"Muscle"
"TJP2",0.470043056994795,"Muscle"
"OSTF1",0.367244168191641,"Muscle"
"SYK",0.207424913181021,"Muscle"
"SPTLC1",0.415321165623079,"Muscle"
"CORO2A",0.407389256311214,"Muscle"
"ENG",0.214192779674284,"Muscle"
"ABL1",0.317739144980742,"Muscle"
"RAPGEF1",0.109407776152581,"Muscle"
"VAV2",0.47023213973949,"Muscle"
"ITGA8",-0.0171618414593934,"Muscle"
"VIM",0.405003047444092,"Muscle"
"ARHGAP21",0.124878048049026,"Muscle"
"ABI1",0.439919307269729,"Muscle"
"MPP7",0.0980771444783096,"Muscle"
"SVIL",0.218514030218568,"Muscle"
"ARHGAP12",0.336497671160951,"Muscle"
"ITGB1",0.0427091634820689,"Muscle"
"NRP1",0.370880125757839,"Muscle"
"PARD3",0.107684615223598,"Muscle"
"MAPK8",0.246568536050056,"Muscle"
"ANK3",0.0340664011710022,"Muscle"
"CTNNA3",0.140995713726726,"Muscle"
"VCL",-0.224562689322691,"Muscle"
"DLG5",0.24378331176315,"Muscle"
"LDB3",0.156626710161285,"Muscle"
"PTEN",0.346372716116749,"Muscle"
"SORBS1",0.15844093845563,"Muscle"
"ADAM12",0.351551543684115,"Muscle"
"DOCK1",0.492787413542964,"Muscle"
"HRAS",0.281963348982598,"Muscle"
"CD151",0.0745453240438729,"Muscle"
"ILK",0.384551553626595,"Muscle"
"PARVA",0.39844662893165,"Muscle"
"PLEKHA7",0.558619553862293,"Muscle"
"PTPRJ",0.0169363014741759,"Muscle"
"CTNND1",0.679546931602717,"Muscle"
"LPXN",0.478981314978944,"Muscle"
"SLC3A2",0.000633203888988472,"Muscle"
"FERMT3",0.371006888666718,"Muscle"
"CAPN1",-0.0535278653315563,"Muscle"
"CFL1",0.277905289586493,"Muscle"
"CORO1B",0.384204060021703,"Muscle"
"PPFIA1",0.367322441245082,"Muscle"
"CTTN",0.28462264322803,"Muscle"
"INPPL1",0.209170019682247,"Muscle"
"MYO7A",0.305184259825975,"Muscle"
"PAK1",0.174353906046797,"Muscle"
"RDX",0.244615068322185,"Muscle"
"LAYN",0.0924521327488941,"Muscle"
"CBL",0.501857881607453,"Muscle"
"THY1",0.236665919617278,"Muscle"
"ARHGEF12",0.363671032345846,"Muscle"
"ARHGAP32",0.528180663553844,"Muscle"
"PTPN6",0.312179155333286,"Muscle"
"PTPRO",0.275536484204457,"Muscle"
"TUBA1B",0.193849250943363,"Muscle"
"RACGAP1",-0.0910195697587102,"Muscle"
"LIMA1",0.480586794088481,"Muscle"
"ITGB7",0.1934696874274,"Muscle"
"ITGA5",0.246691708965053,"Muscle"
"ITGA7",0.0407336760752186,"Muscle"
"LRP1",0.470192781508639,"Muscle"
"AGAP2",0.171356828395902,"Muscle"
